dataset,dataset_key,feature_id,feature_category,feature_question
SMS Spam,sms_spam,mentions_prize_reward_gift,deception,"Does the message mention a prize, reward, gift, lottery, or competition win?"
SMS Spam,sms_spam,claims_winner_or_selected,deception,"Does the message claim that the recipient has won, been selected, or qualified for something?"
SMS Spam,sms_spam,impersonates_official_entity,deception,"Does the message appear to impersonate an official company, service, bank, agency, or support team?"
SMS Spam,sms_spam,uses_promotional_or_marketing_claim,deception,Does the message use promotional or marketing language to persuade the recipient?
SMS Spam,sms_spam,mentions_money_payment,money,"Does the message mention money, payment, cash, credit, charges, fees, or account balance?"
SMS Spam,sms_spam,mentions_free_offer,money,"Does the message mention a free offer, free product, free service, or free access?"
SMS Spam,sms_spam,mentions_discount_or_rate,money,"Does the message mention a discount, special rate, cheap price, tariff, or deal?"
SMS Spam,sms_spam,mentions_financial_gain_or_cost,money,"Does the message mention financial gain, savings, compensation, debt, billing, or cost?"
SMS Spam,sms_spam,creates_urgency,urgency,Does the message create urgency or pressure to act quickly?
SMS Spam,sms_spam,uses_deadline_or_expiry,urgency,"Does the message mention a deadline, expiry, limited time, today-only offer, or final notice?"
SMS Spam,sms_spam,threatens_loss_or_penalty,urgency,"Does the message warn that the recipient may lose access, money, benefits, or an opportunity?"
SMS Spam,sms_spam,contains_all_caps_or_exclamation_emphasis,urgency,"Does the message use all-caps, repeated punctuation, or emphatic formatting to increase pressure?"
SMS Spam,sms_spam,asks_click_link,action_request,"Does the message ask the recipient to click, visit, open, or follow a link or website?"
SMS Spam,sms_spam,asks_user_reply_or_call,action_request,"Does the message ask the recipient to reply, text back, call, or contact a number?"
SMS Spam,sms_spam,requests_personal_information,action_request,"Does the message ask for personal, account, identity, password, PIN, or verification information?"
SMS Spam,sms_spam,requests_immediate_action,action_request,Does the message request an immediate action from the recipient?
SMS Spam,sms_spam,normal_personal_conversation,personal_normal,Does the message sound like a normal personal conversation rather than a promotion or alert?
