id,source_id,split,label,expresses_positive_emotion,contains_praise,mentions_enjoyment,describes_high_quality,expresses_negative_emotion,contains_criticism,mentions_disappointment,describes_low_quality,mentions_good_acting_or_writing,mentions_bad_acting_or_writing,contains_comparison,uses_strong_opinion,contains_irony_or_sarcasm,contains_mixed_sentiment,sounds_uncertain,uses_emotional_language,contains_recommendation,mentions_exciting_content,mentions_boredom,sounds_confident
sst2_00004,train_26402,train,positive,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00003,train_33967,test,negative,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
sst2_00002,train_58371,train,negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
sst2_00000,train_27801,train,positive,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
sst2_00001,train_15617,train,positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
sst2_00005,train_48122,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00006,train_43177,test,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00008,train_17041,train,negative,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00010,train_53923,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00007,train_4671,test,positive,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00009,train_56388,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00011,train_34627,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
sst2_00014,train_65390,test,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00013,train_10586,train,positive,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
sst2_00012,train_32385,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00015,train_49868,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00017,train_1820,train,positive,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1
sst2_00016,validation_575,train,negative,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
sst2_00019,train_26333,train,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
