Dataset,Panel,Sampling seed,Original features,Alternative features,Accuracy,Macro-F1,Positive F1,Delta Macro-F1 vs original,Feature ids
SMS Spam,1,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,2,2026,12,8,0.9750,0.9438,0.9020,+0.0065,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c34
SMS Spam,3,2026,11,9,0.9770,0.9493,0.9119,+0.0120,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c34
SMS Spam,4,2026,11,9,0.9780,0.9501,0.9127,+0.0127,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_free_offer; original:creates_urgency; original:uses_deadline_or_expiry; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34
SMS Spam,5,2026,8,12,0.9810,0.9579,0.9266,+0.0205,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:requests_personal_information; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,6,2026,10,10,0.9850,0.9661,0.9407,+0.0287,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,7,2026,11,9,0.9820,0.9586,0.9274,+0.0212,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c36
SMS Spam,8,2026,13,7,0.9730,0.9405,0.8966,+0.0032,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:creates_urgency; original:uses_deadline_or_expiry; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c11; alternative:sms_alt_c18; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c35
SMS Spam,9,2026,12,8,0.9780,0.9517,0.9160,+0.0144,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:requests_personal_information; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c02; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c36
SMS Spam,10,2026,9,11,0.9840,0.9632,0.9355,+0.0258,original:claims_winner_or_selected; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:requests_personal_information; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c33
SMS Spam,11,2026,8,12,0.9710,0.9365,0.8897,-0.0008,original:mentions_prize_reward_gift; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:requests_personal_information; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c34
