Dataset,Feature,Category,Question,Positive label yes-rate,Negative label yes-rate,Absolute yes-rate gap,Direction,Mutual information,LR coefficient,Proxy strength,Proxy taxonomy
SMS Spam,mentions_prize_reward_gift,deception,"Does the message mention a prize, reward, gift, lottery, or competition win?",0.4237,0.0046,0.4191,spam,0.107544,0.795323,high,high-signal semantic proxy
SMS Spam,claims_winner_or_selected,deception,"Does the message claim that the recipient has won, been selected, or qualified for something?",0.2851,0.0011,0.2840,spam,0.074464,0.487919,medium,mechanistic evidence
SMS Spam,impersonates_official_entity,deception,"Does the message appear to impersonate an official company, service, bank, agency, or support team?",0.2550,0.0057,0.2493,spam,0.055973,1.140413,medium,mechanistic evidence
SMS Spam,uses_promotional_or_marketing_claim,deception,Does the message use promotional or marketing language to persuade the recipient?,0.8835,0.0089,0.8747,spam,0.273269,1.498325,high,high-signal semantic proxy
SMS Spam,mentions_money_payment,money,"Does the message mention money, payment, cash, credit, charges, fees, or account balance?",0.6285,0.0428,0.5857,spam,0.121406,0.882963,high,high-signal semantic proxy
SMS Spam,mentions_free_offer,money,"Does the message mention a free offer, free product, free service, or free access?",0.3072,0.0034,0.3038,spam,0.075073,1.094946,medium,mechanistic evidence
SMS Spam,mentions_discount_or_rate,money,"Does the message mention a discount, special rate, cheap price, tariff, or deal?",0.0803,0.0040,0.0763,spam,0.013902,-0.507341,low,mechanistic evidence
SMS Spam,mentions_financial_gain_or_cost,money,"Does the message mention financial gain, savings, compensation, debt, billing, or cost?",0.6406,0.0440,0.5966,spam,0.124193,0.580315,high,high-signal semantic proxy
SMS Spam,creates_urgency,urgency,Does the message create urgency or pressure to act quickly?,0.4016,0.0120,0.3896,spam,0.087588,0.440815,medium,mechanistic evidence
SMS Spam,uses_deadline_or_expiry,urgency,"Does the message mention a deadline, expiry, limited time, today-only offer, or final notice?",0.1426,0.0049,0.1377,spam,0.027845,0.384121,medium,mechanistic evidence
SMS Spam,threatens_loss_or_penalty,urgency,"Does the message warn that the recipient may lose access, money, benefits, or an opportunity?",0.0181,0.0037,0.0144,spam,0.001410,-0.825786,low,mechanistic evidence
SMS Spam,contains_all_caps_or_exclamation_emphasis,urgency,"Does the message use all-caps, repeated punctuation, or emphatic formatting to increase pressure?",0.3715,0.0403,0.3312,spam,0.052515,0.418565,medium,mechanistic evidence
SMS Spam,asks_click_link,action_request,"Does the message ask the recipient to click, visit, open, or follow a link or website?",0.1787,0.0029,0.1759,spam,0.040402,2.598373,medium,mechanistic evidence
SMS Spam,asks_user_reply_or_call,action_request,"Does the message ask the recipient to reply, text back, call, or contact a number?",0.8594,0.0623,0.7972,spam,0.187512,2.265759,high,high-signal semantic proxy
SMS Spam,requests_personal_information,action_request,"Does the message ask for personal, account, identity, password, PIN, or verification information?",0.0201,0.0037,0.0164,spam,0.001719,0.771576,low,mechanistic evidence
SMS Spam,requests_immediate_action,action_request,Does the message request an immediate action from the recipient?,0.7068,0.0420,0.6649,spam,0.148476,-0.607404,high,high-signal semantic proxy
SMS Spam,normal_personal_conversation,personal_normal,Does the message sound like a normal personal conversation rather than a promotion or alert?,0.0241,0.9654,0.9414,not spam,0.280070,-3.020231,high,counter-proxy / negative evidence
SMS Spam,mentions_meeting_family_friends,personal_normal,"Does the message mention meeting, plans, family, friends, school, work, or daily life?",0.0080,0.3298,0.3218,not spam,0.041001,-1.704428,medium,counter-proxy / negative evidence
SMS Spam,uses_casual_emotional_language,personal_normal,"Does the message use casual, affectionate, humorous, or emotional language typical of personal messages?",0.1165,0.9240,0.8076,not spam,0.185929,-0.343630,high,counter-proxy / negative evidence
SMS Spam,refers_previous_conversation,personal_normal,"Does the message refer to a previous conversation, shared context, or an ongoing personal exchange?",0.0462,0.6665,0.6203,not spam,0.096450,-0.707131,high,counter-proxy / negative evidence
SST-2,expresses_positive_emotion,positive_sentiment,"Does the sentence express positive emotion, approval, pleasure, or enthusiasm?",0.8128,0.0135,0.7992,positive,0.389457,2.017566,high,high-signal semantic proxy
SST-2,contains_praise,positive_sentiment,"Does the sentence praise the movie, a creative element, or the viewing experience?",0.7988,0.0113,0.7876,positive,0.381196,1.561414,high,high-signal semantic proxy
SST-2,mentions_enjoyment,positive_sentiment,"Does the sentence indicate that the movie is enjoyable, entertaining, engaging, or fun?",0.2824,0.0068,0.2757,positive,0.090705,0.060863,medium,mechanistic evidence
SST-2,describes_high_quality,positive_sentiment,"Does the sentence describe the movie or an aspect of it as high quality, effective, or well made?",0.5748,0.0073,0.5674,positive,0.230419,0.550825,high,high-signal semantic proxy
SST-2,expresses_negative_emotion,negative_sentiment,"Does the sentence express negative emotion, dislike, frustration, or disapproval?",0.0364,0.8156,0.7792,not positive,0.366034,-1.547140,high,counter-proxy / negative evidence
SST-2,contains_criticism,negative_sentiment,"Does the sentence criticize the movie, a creative element, or the viewing experience?",0.0332,0.8094,0.7761,not positive,0.365605,-1.552014,high,counter-proxy / negative evidence
SST-2,mentions_disappointment,negative_sentiment,"Does the sentence indicate disappointment, failure, wasted potential, or dissatisfaction?",0.0085,0.4258,0.4173,not positive,0.161557,-0.692031,high,counter-proxy / negative evidence
SST-2,describes_low_quality,negative_sentiment,"Does the sentence describe the movie or an aspect of it as low quality, ineffective, or poorly made?",0.0112,0.6277,0.6165,not positive,0.270271,-1.455738,high,counter-proxy / negative evidence
SST-2,mentions_good_acting_or_writing,aspect_evaluation,"Does the sentence positively evaluate acting, writing, direction, dialogue, story, or filmmaking craft?",0.1980,0.0068,0.1913,positive,0.058213,0.181196,medium,mechanistic evidence
SST-2,mentions_bad_acting_or_writing,aspect_evaluation,"Does the sentence negatively evaluate acting, writing, direction, dialogue, story, or filmmaking craft?",0.0067,0.1715,0.1647,not positive,0.052575,0.673396,medium,counter-proxy / negative evidence
SST-2,contains_comparison,aspect_evaluation,"Does the sentence compare the movie or one of its aspects with another movie, standard, genre, or expectation?",0.0772,0.1224,0.0452,not positive,0.002844,-0.552338,low,counter-proxy / negative evidence
SST-2,uses_strong_opinion,aspect_evaluation,"Does the sentence make a strong evaluative judgment about quality, merit, or value?",0.6053,0.7389,0.1336,not positive,0.010001,0.037946,low,counter-proxy / negative evidence
SST-2,contains_irony_or_sarcasm,uncertainty_irony,"Does the sentence contain irony, sarcasm, mock praise, or a non-literal evaluative tone?",0.0099,0.0807,0.0708,not positive,0.016757,-0.683847,low,counter-proxy / negative evidence
SST-2,contains_mixed_sentiment,uncertainty_irony,Does the sentence contain both positive and negative evaluation or qualify one sentiment with another?,0.0543,0.0575,0.0032,not positive,0.000024,0.481399,low,counter-proxy / negative evidence
SST-2,sounds_uncertain,uncertainty_irony,"Does the sentence sound uncertain, hesitant, tentative, or ambiguous in its evaluation?",0.0094,0.0248,0.0154,not positive,0.001830,-1.184541,low,counter-proxy / negative evidence
SST-2,uses_emotional_language,uncertainty_irony,Does the sentence rely on emotionally loaded language rather than a purely descriptive statement?,0.4814,0.5482,0.0669,not positive,0.002210,0.391570,low,counter-proxy / negative evidence
SST-2,contains_recommendation,recommendation,"Does the sentence imply that the movie should be watched, avoided, recommended, or not recommended?",0.0665,0.0220,0.0445,positive,0.005919,0.721037,low,mechanistic evidence
SST-2,mentions_exciting_content,recommendation,"Does the sentence mention excitement, energy, suspense, charm, or engagement that would attract viewers?",0.1904,0.0017,0.1887,positive,0.063111,0.389366,medium,mechanistic evidence
SST-2,mentions_boredom,recommendation,"Does the sentence mention boredom, dullness, slowness, tedium, or lack of engagement?",0.0013,0.1060,0.1047,not positive,0.036247,-0.824977,medium,counter-proxy / negative evidence
SST-2,sounds_confident,recommendation,Does the sentence sound confident or decisive in its recommendation or judgment?,0.7714,0.7755,0.0041,not positive,0.000012,0.121656,low,counter-proxy / negative evidence
ADE,mentions_medication_or_drug,medication,"Does the text mention a medication, drug, treatment, or pharmaceutical product?",0.9976,0.5993,0.3982,ade,0.087194,3.903224,medium,mechanistic evidence
ADE,mentions_dose_or_frequency,medication,"Does the text mention dose, dosage, frequency, administration route, or medication amount?",0.1112,0.0855,0.0258,ade,0.000625,0.124099,low,mechanistic evidence
ADE,mentions_drug_discontinuation,medication,"Does the text mention stopping, withdrawing, discontinuing, reducing, switching, or changing a medication?",0.0538,0.0506,0.0032,ade,0.000017,-0.525107,low,mechanistic evidence
ADE,mentions_drug_interaction,medication,"Does the text mention an interaction between drugs, treatments, substances, or co-medications?",0.0526,0.0277,0.0249,ade,0.001420,0.724713,low,mechanistic evidence
ADE,mentions_symptom_or_condition,clinical_event,"Does the text mention a symptom, medical condition, abnormal finding, or health problem?",0.9890,0.7813,0.2077,ade,0.035402,1.739278,medium,mechanistic evidence
ADE,mentions_adverse_reaction,clinical_event,"Does the text describe an adverse reaction, side effect, toxicity, complication, or harm?",0.9645,0.4142,0.5503,ade,0.120754,1.134283,high,high-signal semantic proxy
ADE,mentions_severity,clinical_event,"Does the text mention severity, seriousness, hospitalization, life-threatening events, disability, or death?",0.2054,0.1323,0.0731,ade,0.003230,0.088764,low,mechanistic evidence
ADE,mentions_lab_or_diagnostic_abnormality,clinical_event,"Does the text mention a laboratory abnormality, diagnostic finding, imaging result, or test result?",0.1773,0.2065,0.0292,not ade,0.000443,0.097733,low,counter-proxy / negative evidence
ADE,links_event_to_medication,causality_temporality,Does the text suggest that a clinical event is linked to a medication or treatment?,0.9682,0.3265,0.6417,ade,0.158251,1.592191,high,high-signal semantic proxy
ADE,mentions_temporal_after_use,causality_temporality,Does the text indicate that a symptom or event occurred after medication use or treatment exposure?,0.4340,0.1574,0.2765,ade,0.032876,0.270938,medium,mechanistic evidence
ADE,mentions_rechallenge_or_recovery,causality_temporality,"Does the text mention recovery after stopping a drug, recurrence after restarting, or rechallenge?",0.0440,0.0434,0.0006,ade,0.000001,-0.409838,low,mechanistic evidence
ADE,mentions_onset_or_duration,causality_temporality,"Does the text mention onset timing, duration, progression, or time course of a clinical event?",0.1235,0.0999,0.0235,ade,0.000463,-0.293146,low,mechanistic evidence
ADE,contains_negation_no_event,negation_uncertainty,"Does the text explicitly say that an adverse event, symptom, toxicity, or complication did not occur?",0.0183,0.0503,0.0319,not ade,0.002392,-0.312079,low,counter-proxy / negative evidence
ADE,contains_uncertainty_or_possible,negation_uncertainty,"Does the text express uncertainty, possibility, suspicion, or lack of confirmation about a clinical event or drug link?",0.1528,0.1056,0.0472,ade,0.001673,-0.092856,low,mechanistic evidence
ADE,states_alternative_cause,negation_uncertainty,Does the text suggest that the clinical event may have another cause besides a medication?,0.0293,0.0163,0.0130,ade,0.000662,0.081172,low,mechanistic evidence
ADE,reports_no_drug_link,negation_uncertainty,"Does the text explicitly state that a clinical event is unrelated, not attributable, or not linked to a medication?",0.0049,0.0044,0.0005,ade,0.000004,0.459550,low,mechanistic evidence
ADE,mentions_study_or_trial_context,non_ade_context,"Does the text describe a study, trial, review, background statement, or general research context rather than a patient event?",0.1002,0.1662,0.0660,not ade,0.002976,-0.183147,low,counter-proxy / negative evidence
ADE,mentions_expected_therapeutic_effect,non_ade_context,"Does the text mainly describe intended therapeutic benefit, efficacy, indication, or treatment response?",0.0220,0.1952,0.1732,not ade,0.024956,-1.472014,medium,counter-proxy / negative evidence
ADE,describes_indication_or_background,non_ade_context,"Does the text describe disease background, treatment indication, or clinical context without an adverse event?",0.1932,0.3598,0.1667,not ade,0.011047,-0.146804,low,counter-proxy / negative evidence
ADE,discusses_general_pharmacology,non_ade_context,"Does the text discuss pharmacology, mechanism, metabolism, or general drug properties rather than a specific adverse event?",0.0244,0.0377,0.0133,not ade,0.000460,0.290235,low,counter-proxy / negative evidence
Disaster Tweets,mentions_disaster_type,disaster_event,"Does the tweet mention a disaster or hazard type such as fire, flood, earthquake, storm, crash, explosion, or attack?",0.6731,0.1198,0.5533,real disaster,0.171220,1.231757,high,high-signal semantic proxy
Disaster Tweets,reports_event_occurrence,disaster_event,"Does the tweet report that a real harmful event is happening, happened, or is expected to happen?",0.5839,0.0375,0.5465,real disaster,0.202545,1.144487,high,high-signal semantic proxy
Disaster Tweets,describes_threat_or_danger,disaster_event,"Does the tweet describe a threat, danger, unsafe condition, or risk to people or places?",0.5663,0.1102,0.4561,real disaster,0.123977,0.178535,high,high-signal semantic proxy
Disaster Tweets,mentions_cause_or_trigger,disaster_event,"Does the tweet mention a cause, trigger, or source of the disaster or hazardous event?",0.2195,0.0309,0.1886,real disaster,0.045761,0.218586,medium,mechanistic evidence
Disaster Tweets,mentions_location,grounding,"Does the tweet mention a specific location, place, city, country, street, venue, or geographic area?",0.6344,0.1542,0.4802,real disaster,0.126234,0.827408,high,high-signal semantic proxy
Disaster Tweets,mentions_time_or_recency,grounding,"Does the tweet mention time, date, recency, live updates, now, today, tonight, or an ongoing event?",0.2553,0.1050,0.1503,real disaster,0.019520,0.161638,low,mechanistic evidence
Disaster Tweets,includes_source_or_report,grounding,"Does the tweet cite a news source, official report, eyewitness report, alert, or external information source?",0.5088,0.1045,0.4043,real disaster,0.102397,0.433918,high,high-signal semantic proxy
Disaster Tweets,first_person_witnessing,grounding,"Does the tweet suggest first-hand witnessing, direct observation, personal presence, or local experience of the event?",0.0757,0.0980,0.0223,not real disaster,0.000764,-0.217771,low,counter-proxy / negative evidence
Disaster Tweets,mentions_casualties_or_injuries,severity_damage,"Does the tweet mention deaths, casualties, injuries, missing people, victims, or people harmed?",0.1989,0.0270,0.1719,real disaster,0.041814,0.801188,medium,mechanistic evidence
Disaster Tweets,mentions_property_damage,severity_damage,"Does the tweet mention property damage, destruction, collapsed buildings, burning structures, or damaged vehicles?",0.1097,0.0144,0.0954,real disaster,0.022406,-0.072328,medium,mechanistic evidence
Disaster Tweets,mentions_infrastructure_disruption,severity_damage,"Does the tweet mention disruption to roads, transport, power, communications, schools, hospitals, or public services?",0.1092,0.0070,0.1022,real disaster,0.029272,1.221183,medium,mechanistic evidence
Disaster Tweets,mentions_scale_or_intensity,severity_damage,"Does the tweet mention scale, intensity, magnitude, many people affected, widespread impact, or severe conditions?",0.1033,0.0100,0.0933,real disaster,0.024052,0.174466,medium,mechanistic evidence
Disaster Tweets,calls_for_help,emergency_response,"Does the tweet call for help, rescue, aid, donations, volunteers, or urgent assistance?",0.0147,0.0061,0.0086,real disaster,0.000920,0.251331,low,mechanistic evidence
Disaster Tweets,mentions_rescue_or_emergency_services,emergency_response,"Does the tweet mention police, firefighters, ambulance, emergency services, rescue teams, responders, or authorities?",0.1191,0.0257,0.0934,real disaster,0.017705,0.425115,low,mechanistic evidence
Disaster Tweets,mentions_evacuation_or_shelter,emergency_response,"Does the tweet mention evacuation, shelter, lockdown, refuge, relocation, or people being moved to safety?",0.0469,0.0057,0.0413,real disaster,0.009678,1.060542,low,mechanistic evidence
