Dataset,Feature set,#Features,Accuracy,Macro-F1,Positive F1,Selected features
SMS Spam,All LLM-Q20,20,0.9710,0.9373,0.8914,mentions_prize_reward_gift; claims_winner_or_selected; impersonates_official_entity; uses_promotional_or_marketing_claim; mentions_money_payment; mentions_free_offer; mentions_discount_or_rate; mentions_financial_gain_or_cost; creates_urgency; uses_deadline_or_expiry; threatens_loss_or_penalty; contains_all_caps_or_exclamation_emphasis; asks_click_link; asks_user_reply_or_call; requests_personal_information; requests_immediate_action; normal_personal_conversation; mentions_meeting_family_friends; uses_casual_emotional_language; refers_previous_conversation
SMS Spam,MI top-5,5,0.9710,0.9373,0.8914,normal_personal_conversation; uses_promotional_or_marketing_claim; asks_user_reply_or_call; uses_casual_emotional_language; requests_immediate_action
SMS Spam,MI top-10,10,0.9680,0.9315,0.8815,normal_personal_conversation; uses_promotional_or_marketing_claim; asks_user_reply_or_call; uses_casual_emotional_language; requests_immediate_action; mentions_financial_gain_or_cost; mentions_money_payment; mentions_prize_reward_gift; refers_previous_conversation; creates_urgency
SMS Spam,MI top-15,15,0.9690,0.9338,0.8856,normal_personal_conversation; uses_promotional_or_marketing_claim; asks_user_reply_or_call; uses_casual_emotional_language; requests_immediate_action; mentions_financial_gain_or_cost; mentions_money_payment; mentions_prize_reward_gift; refers_previous_conversation; creates_urgency; mentions_free_offer; claims_winner_or_selected; impersonates_official_entity; contains_all_caps_or_exclamation_emphasis; mentions_meeting_family_friends
SST-2,All LLM-Q20,20,0.9360,0.9349,0.9433,expresses_positive_emotion; contains_praise; mentions_enjoyment; describes_high_quality; expresses_negative_emotion; contains_criticism; mentions_disappointment; describes_low_quality; mentions_good_acting_or_writing; mentions_bad_acting_or_writing; contains_comparison; uses_strong_opinion; contains_irony_or_sarcasm; contains_mixed_sentiment; sounds_uncertain; uses_emotional_language; contains_recommendation; mentions_exciting_content; mentions_boredom; sounds_confident
SST-2,MI top-5,5,0.8920,0.8920,0.8937,expresses_positive_emotion; contains_praise; expresses_negative_emotion; contains_criticism; describes_low_quality
SST-2,MI top-10,10,0.8970,0.8970,0.8991,expresses_positive_emotion; contains_praise; expresses_negative_emotion; contains_criticism; describes_low_quality; describes_high_quality; mentions_disappointment; mentions_enjoyment; mentions_exciting_content; mentions_good_acting_or_writing
SST-2,MI top-15,15,0.9400,0.9387,0.9477,expresses_positive_emotion; contains_praise; expresses_negative_emotion; contains_criticism; describes_low_quality; describes_high_quality; mentions_disappointment; mentions_enjoyment; mentions_exciting_content; mentions_good_acting_or_writing; mentions_bad_acting_or_writing; mentions_boredom; contains_irony_or_sarcasm; uses_strong_opinion; contains_recommendation
ADE,All LLM-Q20,20,0.7980,0.7577,0.6588,mentions_medication_or_drug; mentions_dose_or_frequency; mentions_drug_discontinuation; mentions_drug_interaction; mentions_symptom_or_condition; mentions_adverse_reaction; mentions_severity; mentions_lab_or_diagnostic_abnormality; links_event_to_medication; mentions_temporal_after_use; mentions_rechallenge_or_recovery; mentions_onset_or_duration; contains_negation_no_event; contains_uncertainty_or_possible; states_alternative_cause; reports_no_drug_link; mentions_study_or_trial_context; mentions_expected_therapeutic_effect; describes_indication_or_background; discusses_general_pharmacology
ADE,MI top-5,5,0.7980,0.7595,0.6633,links_event_to_medication; mentions_adverse_reaction; mentions_medication_or_drug; mentions_symptom_or_condition; mentions_temporal_after_use
ADE,MI top-10,10,0.8040,0.7639,0.6667,links_event_to_medication; mentions_adverse_reaction; mentions_medication_or_drug; mentions_symptom_or_condition; mentions_temporal_after_use; mentions_expected_therapeutic_effect; describes_indication_or_background; mentions_severity; mentions_study_or_trial_context; contains_negation_no_event
ADE,MI top-15,15,0.7990,0.7586,0.6599,links_event_to_medication; mentions_adverse_reaction; mentions_medication_or_drug; mentions_symptom_or_condition; mentions_temporal_after_use; mentions_expected_therapeutic_effect; describes_indication_or_background; mentions_severity; mentions_study_or_trial_context; contains_negation_no_event; contains_uncertainty_or_possible; mentions_drug_interaction; states_alternative_cause; mentions_dose_or_frequency; mentions_onset_or_duration
Disaster Tweets,All LLM-Q20,20,0.8160,0.8073,0.7665,mentions_disaster_type; reports_event_occurrence; describes_threat_or_danger; mentions_cause_or_trigger; mentions_location; mentions_time_or_recency; includes_source_or_report; first_person_witnessing; mentions_casualties_or_injuries; mentions_property_damage; mentions_infrastructure_disruption; mentions_scale_or_intensity; calls_for_help; mentions_rescue_or_emergency_services; mentions_evacuation_or_shelter; gives_safety_instruction; uses_metaphor_or_idiom; refers_to_entertainment_or_sports; expresses_joke_or_sarcasm; discusses_non_event_context
Disaster Tweets,MI top-5,5,0.8000,0.7935,0.7567,reports_event_occurrence; mentions_disaster_type; discusses_non_event_context; mentions_location; describes_threat_or_danger
Disaster Tweets,MI top-10,10,0.8180,0.8093,0.7684,reports_event_occurrence; mentions_disaster_type; discusses_non_event_context; mentions_location; describes_threat_or_danger; includes_source_or_report; uses_metaphor_or_idiom; mentions_cause_or_trigger; mentions_casualties_or_injuries; refers_to_entertainment_or_sports
Disaster Tweets,MI top-15,15,0.8160,0.8082,0.7694,reports_event_occurrence; mentions_disaster_type; discusses_non_event_context; mentions_location; describes_threat_or_danger; includes_source_or_report; uses_metaphor_or_idiom; mentions_cause_or_trigger; mentions_casualties_or_injuries; refers_to_entertainment_or_sports; expresses_joke_or_sarcasm; mentions_infrastructure_disruption; mentions_scale_or_intensity; mentions_property_damage; mentions_time_or_recency
